From	Entry	Protein names	Gene Names	Length	EC number	Interacts with	Pathway	Gene Ontology IDs	Subcellular location [CC]	PubMed ID	Protein families	Domain [FT]	Topological domain
b0721	P69054	Succinate dehydrogenase cytochrome b556 subunit (Cytochrome b-556)	sdhC cybA b0721 JW0711	129			PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	GO:0005886; GO:0006099; GO:0008177; GO:0009055; GO:0009060; GO:0016020; GO:0017004; GO:0019646; GO:0020037; GO:0045281; GO:0046872; GO:0048039	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	6383359; 3309132; 8905232; 9278503; 16738553; 9822661; 9521736; 11259408; 15919996; 12560550; 16407191; 19710024	Cytochrome b560 family		TOPO_DOM 1..26; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 53..68; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 90..108; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:15919996"
b1415	P25553	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)	aldA ald b1415 JW1412	479	1.2.1.21; 1.2.1.22		PATHWAY: Carbohydrate degradation; L-fucose degradation. {ECO:0000269|PubMed:3275622, ECO:0000269|PubMed:3298215}.; PATHWAY: Carbohydrate degradation; L-rhamnose degradation. {ECO:0000269|PubMed:3275622, ECO:0000269|PubMed:3298215}.	GO:0004777; GO:0005829; GO:0008911; GO:0009450; GO:0019301; GO:0032991; GO:0042355; GO:0042802; GO:0050569		1917845; 9097039; 9278503; 16738553; 9298646; 6345530; 3298215; 3308886; 3275622; 16731973; 18218709; 27671251; 31850327; 17173928	Aldehyde dehydrogenase family		
b0618	P77390	[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22) (Acetate:SH-citrate lyase ligase) (Citrate lyase synthetase)	citC ybeO b0618 JW0610	352	6.2.1.22	P0A8D3		GO:0005524; GO:0008771; GO:0009058; GO:0016747		8905232; 9278503; 16738553; 19429622		DOMAIN 1..128; /note="N-acetyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00532"	
b1324	P0A862	Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Scavengase p20) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)	tpx yzzJ b1324 JW1317	168	1.11.1.24	P0A8E1		GO:0005737; GO:0005829; GO:0008379; GO:0032843; GO:0034599; GO:0042597	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:7499381}. Cytoplasm {ECO:0000269|PubMed:19054092}. Note=Forms a mixed disulfide with cytoplasmic thioredoxin (trx1). {ECO:0000269|PubMed:19054092}.	7499381; 9168946; 9097039; 9278503; 16738553; 9298646; 12514184; 14676195; 19054092; 14506251; 19699750; 22691780	Peroxiredoxin family, Tpx subfamily	DOMAIN 19..168; /note="Thioredoxin"; /evidence="ECO:0000255|HAMAP-Rule:MF_00269"	
b2979	P0AEP9	Glycolate oxidase subunit GlcD (EC 1.1.99.14) (Glycolate dehydrogenase subunit GlcD)	glcD gox yghM b2979 JW2946	499	1.1.99.14			GO:0003973; GO:0005886; GO:0006974; GO:0009339; GO:0019154; GO:0046296; GO:0047809; GO:0071949	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:2689218}. Note=Glycolate oxidoreductase activity was shown to be firmly associated with the cytoplasmic membranes. {ECO:0000269|PubMed:2689218}.	8606183; 9278503; 16738553; 4557653; 2689218; 9880556	FAD-binding oxidoreductase/transferase type 4 family	DOMAIN 52..230; /note="FAD-binding PCMH-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00718"	
b3236	P61889	Malate dehydrogenase (EC 1.1.1.37)	mdh b3236 JW3205	312	1.1.1.37			GO:0005737; GO:0005829; GO:0006096; GO:0006099; GO:0006108; GO:0006113; GO:0009061; GO:0016020; GO:0016491; GO:0016615; GO:0019898; GO:0030060; GO:0042803		3299262; 3322223; 9278503; 16738553; 2993232; 7028159; 9298646; 9190829; 8506346; 8670822; 9600841; 8108402; 9199437; 11214793; 9298644; 1507230; 8331658; 11389141	LDH/MDH superfamily, MDH type 1 family		
b0118	P36683	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB yacI yacJ b0118 JW0114	865	4.2.1.3; 4.2.1.99		PATHWAY: Organic acid metabolism; propanoate degradation. {ECO:0000305|PubMed:12473114}.; PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; isocitrate from oxaloacetate: step 2/2. {ECO:0000305|PubMed:12473114}.	GO:0003729; GO:0003730; GO:0003994; GO:0005829; GO:0006097; GO:0006099; GO:0006417; GO:0019629; GO:0046872; GO:0047456; GO:0047780; GO:0051539		8202364; 9278503; 16738553; 8932712; 9298646; 12473114; 10585860; 8000525; 9202458; 10589714; 11932448; 15882410; 11992126	Aconitase/IPM isomerase family		
b1101	P69786	PTS system glucose-specific EIICB component (EIICB-Glc) (EII-Glc) [Includes: Glucose permease IIC component (PTS system glucose-specific EIIC component); Glucose-specific phosphotransferase enzyme IIB component (EC 2.7.1.199) (PTS system glucose-specific EIIB component)]	ptsG glcA umg b1101 JW1087	477	2.7.1.199	P50456		GO:0005355; GO:0005886; GO:0006355; GO:0008982; GO:0009401; GO:0016020; GO:0016301; GO:0016310; GO:0090564; GO:0098708; GO:1902495; GO:1904659	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00426, ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:3129430}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00426, ECO:0000305|PubMed:15919996}.	3023349; 8905232; 9278503; 16738553; 3129430; 8505292; 9298644; 10562420; 15522088; 15919996; 16549791; 26305955; 28351921; 8112346; 8784182; 9200688; 12716891; 18319344		DOMAIN 1..388; /note="PTS EIIC type-1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00426"; DOMAIN 399..477; /note="PTS EIIB type-1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00421"	TOPO_DOM 1..14; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 36..50; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 72..79; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 101..111; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 133..151; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 173..190; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 212..249; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 271..279; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 301..309; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 331..355; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 377..477; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:15919996"
b0720	P0ABH7	Citrate synthase (EC 2.3.3.16)	gltA gluT icdB b0720 JW0710	427	2.3.3.16	P0ABH7; P76407	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; isocitrate from oxaloacetate: step 1/2.	GO:0004108; GO:0005829; GO:0006099; GO:0034214; GO:0042802; GO:0070404		8905232; 9278503; 16738553; 6383359; 6380576; 6343122; 3309132; 3514304; 1939121; 7730298; 9298644; 18723842	Citrate synthase family		
b0313	P17446	HTH-type transcriptional regulator BetI	betI b0313 JW0305	195			PATHWAY: Amine and polyamine biosynthesis; betaine biosynthesis via choline pathway [regulation].	GO:0000976; GO:0003677; GO:0003700; GO:0006355; GO:0006970; GO:0019285; GO:0045892		1956285; 9278503; 16738553; 8626294; 8626295		DOMAIN 8..68; /note="HTH tetR-type"; /evidence="ECO:0000255|HAMAP-Rule:MF_00768"	
b4059	P0AGE0	Single-stranded DNA-binding protein (SSB) (Helix-destabilizing protein)	ssb exrB lexC b4059 JW4020	178		P27296; P0ABS5; P06710; P28905; P17888; P0A7H3; P0AGE0		GO:0000725; GO:0003697; GO:0005829; GO:0006261; GO:0006298; GO:0008047; GO:0009295; GO:0009432; GO:0030894; GO:0042802; GO:0043085; GO:0044777		6270666; 6351061; 8265357; 9278503; 16738553; 7042342; 6363409; 6384214; 3301414; 2087220; 1988680; 7962001; 9298644; 9139905; 9545254; 10782989; 15576682; 16549871; 17483090; 18937104; 18591666; 20360609; 20018747; 21784244; 23430154; 23963891; 27519413; 9192620; 10932248		DOMAIN 6..111; /note="SSB"; /evidence="ECO:0000255|HAMAP-Rule:MF_00984"	
b4058	P0A698	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA dinE b4058 JW4019	940		P0AFP2; P30958; P0A698; P0A8F8		GO:0000715; GO:0003677; GO:0005524; GO:0005829; GO:0006281; GO:0006289; GO:0006294; GO:0008270; GO:0009314; GO:0009380; GO:0009381; GO:0009432; GO:0016887; GO:0042802; GO:1990391	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00205}.	3007478; 8265357; 9278503; 16738553; 6310514; 6283374; 1826851; 2550431; 9298644; 22331906	ABC transporter superfamily, UvrA family	DOMAIN 310..587; /note="ABC transporter 1"; /evidence="ECO:0000255|HAMAP-Rule:MF_00205"; DOMAIN 607..937; /note="ABC transporter 2"; /evidence="ECO:0000255|HAMAP-Rule:MF_00205"	
b4058	A0A7U7FXH2	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	b4058 dinE uvrA YE3094_04341	943				GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0008270; GO:0009380; GO:0009381; GO:0009432; GO:0016887	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00205}.	24753568	ABC transporter superfamily, UvrA family	DOMAIN 607..937; /note="ABC transporter"; /evidence="ECO:0000259|PROSITE:PS50893"	
b4058	A0A7U7IQG4	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	b4058 dinE uvrA YE14902_35651	943				GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0008270; GO:0009380; GO:0009381; GO:0009432; GO:0016887	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00205}.	24753568	ABC transporter superfamily, UvrA family	DOMAIN 607..937; /note="ABC transporter"; /evidence="ECO:0000259|PROSITE:PS50893"	
b4058	A0A9P1K310	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	b4058 dinE uvrA YE5303_00911	943					SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00205}.		ABC transporter superfamily, UvrA family	DOMAIN 607..937; /note="ABC transporter"; /evidence="ECO:0000259|PROSITE:PS50893"	
b4058	A1JRR6	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA b4058 dinE YE3845	943				GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0008270; GO:0009380; GO:0009381; GO:0009432; GO:0016887	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00205}.	17173484	ABC transporter superfamily, UvrA family	DOMAIN 607..937; /note="ABC transporter"; /evidence="ECO:0000259|PROSITE:PS50893"	
b0314	P0ABC9	High-affinity choline transport protein	betT b0314 JW0306	677			PATHWAY: Amine and polyamine biosynthesis; betaine biosynthesis via choline pathway. {ECO:0000305}.	GO:0005886; GO:0006974; GO:0019285; GO:0022857; GO:0071705	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	1956285; 9278503; 16738553; 15919996	BCCT transporter (TC 2.A.15) family		
b2997	P69741	Hydrogenase-2 small chain (HYD2) (EC 1.12.99.6) (Membrane-bound hydrogenase 2 small subunit) (NiFe hydrogenase)	hybO yghV b2997 JW2965	372	1.12.99.6	P0AAN1		GO:0005886; GO:0008901; GO:0009055; GO:0009061; GO:0009375; GO:0016020; GO:0033748; GO:0042597; GO:0044569; GO:0046872; GO:0051536; GO:0051538; GO:0051539	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein; Periplasmic side. Periplasm.	9278503; 16738553; 9738917; 17218314	[NiFe]/[NiFeSe] hydrogenase small subunit family		
b2916	P0A8S1	HTH-type transcriptional regulator ArgP (Inhibitor of chromosome initiation) (OriC replication inhibitor)	argP iciA b2916 JW2883	297				GO:0003681; GO:0003700; GO:0006355; GO:0032297; GO:0043565; GO:0045892; GO:0045893		2034653; 9278503; 16738553; 8366047; 1733927; 8335089; 9254708; 9819053; 10551881; 10600368; 15150242; 17504942; 21441513; 21890697	LysR transcriptional regulatory family	DOMAIN 4..60; /note="HTH lysR-type"; /evidence="ECO:0000255|HAMAP-Rule:MF_00513"	
b3702	P03004	Chromosomal replication initiator protein DnaA	dnaA b3702 JW3679	467		P66817; P03004; P0ACB0; P0ABT2; P69931; P0ACF0; P18843; P60422		GO:0003677; GO:0003688; GO:0005524; GO:0005829; GO:0005886; GO:0006260; GO:0006268; GO:0006270; GO:0006275; GO:0009898; GO:0016887; GO:0030174; GO:0032297; GO:0032298; GO:0042802; GO:0043565; GO:1990078; GO:1990082; GO:1990084; GO:1990101; GO:1990102; GO:1990103	SUBCELLULAR LOCATION: Cytoplasm.	6296774; 6234204; 7686882; 9278503; 16738553; 6329723; 2558436; 9298644; 9242693; 16077105; 17699754; 18977760; 27484197; 12682358	DnaA family		
b2156	P25737	Lysine-specific permease LysP (Lysine transporter LysP) (Trigger transporter LysP)	lysP cadR b2156 JW2143	489		P23890		GO:0003333; GO:0005886; GO:0015171; GO:0015189; GO:0042802; GO:0043200; GO:0097639	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:7551055}; Multi-pass membrane protein {ECO:0000269|PubMed:7551055}.	1315732; 9278503; 16738553; 7551055; 8808945; 15919996; 18086202; 21441513; 24056175	Amino acid-polyamine-organocation (APC) superfamily, Amino acid transporter (AAT) (TC 2.A.3.1) family		TOPO_DOM 2..22; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 44..45; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 67..105; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 127..128; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 150..161; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 183..197; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 219..244; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 266..290; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 312..346; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 368..370; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 392..413; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 435..446; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:7551055"; TOPO_DOM 468..489; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:7551055"
b2923	P11667	Arginine exporter protein ArgO	argO yggA b2923 JW2890	211				GO:0005886; GO:0006865; GO:0015171; GO:0061459; GO:1903826	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01901, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:27645388}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01901, ECO:0000269|PubMed:27645388}.	9278503; 16738553; 2546007; 15150242; 15919996; 27645388	LysE/ArgO transporter (TC 2.A.75) family		TOPO_DOM 1..38; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:27645388"; TOPO_DOM 59..63; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:27645388"; TOPO_DOM 92..102; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:27645388"; TOPO_DOM 131..140; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:27645388"; TOPO_DOM 171..173; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:27645388"; TOPO_DOM 201..211; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:27645388"
b2234	P00452	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	nrdA dnaF b2234 JW2228	761	1.17.4.1	P00452; P69924	PATHWAY: Genetic information processing; DNA replication.	GO:0004748; GO:0005524; GO:0005829; GO:0005971; GO:0006260; GO:0009185; GO:0009263; GO:0009265; GO:0015949; GO:0042802; GO:0044183		6087316; 3287341; 9205837; 9278503; 16738553; 3894026; 2663852; 8702814; 20005847; 18723842; 8052308; 9395490; 9309223; 10493864	Ribonucleoside diphosphate reductase large chain family	DOMAIN 5..95; /note="ATP-cone"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00492"	
b0031	P04036	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB b0031 JW0029	273	1.17.1.8		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000255|HAMAP-Rule:MF_00102}.	GO:0005829; GO:0008652; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0042802; GO:0050661; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm.	6094578; 1630901; 9278503; 16738553; 6377309; 7893644; 18502871; 20503968; 7893645; 8873595; 9398235	DapB family		
b0031	A0A0H5GRK0	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	b0031 dapB ERS137941_00661	273	1.17.1.8		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000256|HAMAP-Rule:MF_00102}.	GO:0005737; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00102}.		DapB family	DOMAIN 6..129; /note="Dihydrodipicolinate reductase N-terminal"; /evidence="ECO:0000259|Pfam:PF01113"; DOMAIN 132..268; /note="Dihydrodipicolinate reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF05173"	
b0031	A0A0T9TLA7	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	b0031 dapB ERS008547_00970	273	1.17.1.8		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000256|HAMAP-Rule:MF_00102}.	GO:0005737; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00102}.		DapB family	DOMAIN 6..129; /note="Dihydrodipicolinate reductase N-terminal"; /evidence="ECO:0000259|Pfam:PF01113"; DOMAIN 132..268; /note="Dihydrodipicolinate reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF05173"	
b0031	A0A6N3LXT6	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	b0031 dapB ERS008652_00438	273	1.17.1.8		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000256|HAMAP-Rule:MF_00102}.	GO:0005737; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00102}.		DapB family	DOMAIN 6..129; /note="Dihydrodipicolinate reductase N-terminal"; /evidence="ECO:0000259|Pfam:PF01113"; DOMAIN 132..268; /note="Dihydrodipicolinate reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF05173"	
b0031	A0A7U7IPF6	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	b0031 dapB YE14902_28051	273	1.17.1.8		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000256|HAMAP-Rule:MF_00102}.	GO:0005737; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00102}.	24753568	DapB family	DOMAIN 6..129; /note="Dihydrodipicolinate reductase N-terminal"; /evidence="ECO:0000259|Pfam:PF01113"; DOMAIN 132..268; /note="Dihydrodipicolinate reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF05173"	
b0031	A0A7U7IZG3	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	b0031 dapB YE3094_35361	273	1.17.1.8		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000256|HAMAP-Rule:MF_00102}.	GO:0005737; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00102}.	24753568	DapB family	DOMAIN 6..129; /note="Dihydrodipicolinate reductase N-terminal"; /evidence="ECO:0000259|Pfam:PF01113"; DOMAIN 132..268; /note="Dihydrodipicolinate reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF05173"	
b0031	A0A8B6L098	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	b0031 dapB NCTC12982_03823	273	1.17.1.8		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000256|HAMAP-Rule:MF_00102}.	GO:0005737; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00102}.		DapB family	DOMAIN 6..129; /note="Dihydrodipicolinate reductase N-terminal"; /evidence="ECO:0000259|Pfam:PF01113"; DOMAIN 132..268; /note="Dihydrodipicolinate reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF05173"	
b0031	A0A9P1KA13	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	b0031 dapB YE5303_27171	273	1.17.1.8		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000256|HAMAP-Rule:MF_00102}.		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00102}.		DapB family	DOMAIN 6..129; /note="Dihydrodipicolinate reductase N-terminal"; /evidence="ECO:0000259|Pfam:PF01113"; DOMAIN 132..268; /note="Dihydrodipicolinate reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF05173"	
b0031	A0A9P1PYS1	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	b0031 dapB ERS137939_03880	273	1.17.1.8		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000256|HAMAP-Rule:MF_00102}.	GO:0016491	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00102}.		DapB family	DOMAIN 6..129; /note="Dihydrodipicolinate reductase N-terminal"; /evidence="ECO:0000259|Pfam:PF01113"; DOMAIN 132..268; /note="Dihydrodipicolinate reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF05173"	
b3172	P0A6E4	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG b3172 JW3140	447	6.3.4.5	P0A6E4; P24228	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; L-arginine from L-ornithine and carbamoyl phosphate: step 2/3.	GO:0000050; GO:0000053; GO:0004055; GO:0005524; GO:0005737; GO:0005829; GO:0006526; GO:0042802; GO:0042803	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	2123815; 9278503; 16738553; 9298646; 10666579; 11738042; 11809762	Argininosuccinate synthase family, Type 2 subfamily		
